DATE,AD_CLIENT_ID,AD_REQUESTS,MATCHED_AD_REQUESTS,AD_REQUESTS_COVERAGE,INDIVIDUAL_AD_IMPRESSIONS,CLICKS,CLICKS_SPAM_RATIO,MATCHED_AD_REQUESTS_CTR,COST_PER_CLICK (USD),EARNINGS (USD),AD_REQUESTS_RPM (USD)
2014-03-23,partner-ebay-be-fr-vip-01,487083,282020,0.579,870308,345,0.0199,0.0012,0.33,115.08,0.24
2014-04-04,partner-ebay-be-fr-vip-01,328640,189469,0.5765,599917,187,0.0106,0.001,0.38,71.81,0.22
2014-04-30,partner-ebay-be-fr-vip-01,293267,174347,0.5945,541588,184,0.016,0.0011,0.29,53.91,0.18
2014-05-24,partner-ebay-be-fr-vip-01,278716,171874,0.6167,538507,168,0.0175,0.001,0.41,68.61,0.25
2014-05-14,partner-ebay-be-fr-vip-01,331284,202722,0.6119,639457,193,0.0253,0.001,0.39,76.09,0.23
2014-05-20,partner-ebay-be-fr-vip-01,291308,181521,0.6231,574120,206,0.0594,0.0011,0.37,76.51,0.26
2014-04-06,partner-ebay-be-fr-vip-01,417872,238405,0.5705,735902,244,0.0431,0.001,0.31,76.86,0.18
2014-04-01,partner-ebay-be-fr-vip-01,334949,191538,0.5718,592587,229,0.0297,0.0012,0.31,70.28,0.21
2014-03-31,partner-ebay-be-fr-vip-01,350433,198581,0.5667,611783,206,0.0096,0.001,0.44,91.42,0.26
2014-03-22,partner-ebay-be-fr-vip-01,402093,232357,0.5779,714848,263,0.0366,0.0011,0.32,85.23,0.21
2014-04-02,partner-ebay-be-fr-vip-01,320265,185991,0.5807,580151,224,0.0628,0.0012,0.33,74.42,0.23
2014-04-03,partner-ebay-be-fr-vip-01,325981,189553,0.5815,597084,207,0.0143,0.0011,0.28,57.21,0.18
2014-05-25,partner-ebay-be-fr-vip-01,285704,177844,0.6225,562622,168,0.0289,0.0009,0.41,68.96,0.24
2014-06-05,partner-ebay-be-fr-vip-01,306364,199495,0.6512,640829,178,0.022,0.0009,0.42,75.31,0.25
2014-05-27,partner-ebay-be-fr-vip-01,320543,202484,0.6317,646344,226,0.0259,0.0011,0.38,86.40,0.27
2014-04-07,partner-ebay-be-fr-vip-01,357649,205749,0.5753,638082,227,0.0462,0.0011,0.35,79.34,0.22
2014-05-26,partner-ebay-be-fr-vip-01,326011,204217,0.6264,642952,209,0.0095,0.001,0.39,81.31,0.25
